1935.90200000,280.31866600,13.09730300,10.91944900,73802.51737900,73978.72998960
1935.92240000,280.23859500,13.09128800,10.92867400,73891.95779000,74065.06746015
1935.94290000,280.16330300,13.08674400,10.91181800,73749.64147800,73912.26206251
1935.96330000,280.09271700,13.07493100,10.89991600,73904.23094000,74053.84873777
1935.98370000,280.02676300,13.06070700,10.89240500,74098.26135100,74244.21332515
1936.00420000,279.96536600,13.05436600,10.88546400,74208.67883600,74356.63064402
1936.02460000,279.90845400,13.06670200,11.09484300,75297.45637500,75380.42873201
1936.04500000,279.85595200,13.04196500,10.88672800,73836.76861000,73996.97474751
1936.06550000,279.80778600,13.04303800,10.87859900,73893.24852500,74051.65118137
1936.08590000,279.76388300,13.03704700,10.87021800,73872.53587900,74035.34922137
1936.10630000,279.72416900,13.02095300,10.86731500,73962.42918700,74146.05601060
1936.12680000,279.68857000,13.01656600,10.85702000,73935.53462900,74112.54605051
1936.14720000,279.65701200,12.99360600,10.85002500,73892.72445700,74089.06675886
1936.16760000,279.62942200,12.99803900,10.83989200,73823.36583700,73995.71489847
1936.18810000,279.60572600,12.99208600,10.84189000,74053.55481800,74236.48897928
1936.20850000,279.58584900,12.99228800,10.83989200,74031.94761800,74210.97726614
1936.22890000,279.56971900,12.99026000,10.84335700,73827.69249900,74015.37749710
1936.24930000,279.55726100,12.98473900,10.83640000,73821.84104600,74001.09929815
1936.26980000,279.54840100,12.97882900,10.82956500,74013.36387000,74183.98759765
1936.29020000,279.54306600,12.96980900,10.82300600,74106.05056100,74268.14612819
1936.31060000,279.54118200,12.96837100,10.82303400,74033.23102200,74195.09955516
1936.33110000,279.54267500,12.96535700,10.81159000,73874.94672700,74025.02684627
1936.35150000,279.54747100,12.93354300,10.81115800,73834.02397800,73905.11779064
1936.37190000,279.55549700,12.93508200,10.81021700,73620.65107700,73697.56630912
1936.39240000,279.56667900,12.93185300,10.80532100,73759.53110700,73822.65175089
1936.41280000,279.58094200,12.93564100,10.80009200,73958.57222500,74039.33777356
1936.43320000,279.59821400,12.93405800,10.80476000,74142.31626900,74214.53925694
1936.47410000,279.64148600,12.97724400,10.83728200,74086.38234400,74270.83034372
1936.49450000,279.66734000,12.87494800,10.80273300,74225.32944900,74023.42256912
1936.51500000,279.69590600,12.88407900,10.77014500,74176.61021500,74065.85443394
1936.53540000,279.72711100,12.89132600,10.77546700,74128.97362400,74037.65820231
1936.55580000,279.76088100,12.87623700,10.77226800,74161.49638600,74013.47893804
1936.57630000,279.79714300,12.88415800,10.76089800,74113.37691100,74027.26140486
1936.59670000,279.83582300,12.85711100,10.76372000,74177.80212000,73999.73271059
1936.61710000,279.87684700,12.86503900,10.75682600,74337.86457100,74195.16151181
1936.63760000,279.92014100,12.86182100,10.75140400,74436.32144400,74300.81020651
1936.65800000,279.96563000,12.85522300,10.75466300,74299.93802300,74143.61157313
1936.67840000,280.01324300,12.87032500,10.76534400,73934.67821800,73783.13996796
1936.69880000,280.06290500,12.85592900,10.76628200,74127.91754300,73940.16078398
1936.71930000,280.11454000,12.85622000,10.75922400,74462.92555400,74294.60874831
1936.73970000,280.16807800,12.84537500,10.76121400,74525.79557000,74341.05068602
1936.76010000,280.22344300,12.84590400,10.76033000,74440.07469200,74257.82850840
1936.78060000,280.28056100,12.83442000,10.73548000,74361.87790300,74242.64109640
1936.80100000,280.33935900,12.83392600,10.74659300,74114.58317600,73966.93813745
1936.82140000,280.39976300,12.84335300,10.74112000,74074.92817700,73942.82386898
1936.84190000,280.46169900,12.83119500,10.75508000,74240.72057800,74069.64448025
1936.86230000,280.52509300,12.82567900,10.73555100,74429.25710000,74311.23899447
1936.88270000,280.58987200,12.82323600,10.73174400,74291.11190900,74183.01389566
1936.90320000,280.65596200,12.81917300,10.73080700,74022.69823800,73919.12740141
1936.92360000,280.72328800,12.82403700,10.72728500,74002.37419700,73904.56486806
1936.94400000,280.79177700,12.80450400,10.73367700,74158.04697500,74058.94373500
1936.96450000,280.86135700,12.80617600,10.72014300,74202.39468200,74137.30296517
1936.98490000,280.93195100,12.79654900,10.71056800,74227.45500600,74199.53197632
1937.00530000,281.00348700,12.79281600,10.70903200,74230.47298900,74210.16864081
1937.02580000,281.07589200,12.79314800,10.70080500,74142.89545600,74147.75205006
1937.04620000,281.14909000,12.77988700,10.69235800,74214.93666200,74254.57631681
1937.06660000,281.22300900,12.76481000,10.68736300,74228.04535500,74284.36878792
1937.08700000,281.29757400,12.76005100,10.68439000,74173.39993100,74235.91087225
1937.10750000,281.37271200,12.76111600,10.67607500,73899.54182000,73984.08030407
1937.12790000,281.44834900,12.74905400,10.66150000,73761.15854300,73863.39914069
1937.14830000,281.52441100,12.72068900,10.64224700,73470.91987800,73552.88835169
1937.16880000,281.60082400,12.70260100,10.62793800,73536.91715000,73599.02172012
1937.18920000,281.67751500,12.70544300,10.61546300,73558.57703800,73644.61921101
1937.20960000,281.75441000,12.69999400,10.61299000,73427.06587900,73502.27092562
1937.23010000,281.83143400,12.69256100,10.60935600,73363.94494300,73423.48582045
1937.25050000,281.90851500,12.67954400,10.60953400,73593.24748400,73614.35707624
1937.27090000,281.98557800,12.69087700,10.62456700,74310.73938700,74344.87438611
1937.29140000,282.06255000,12.69360300,10.60920200,74428.11610800,74489.54302333
1937.31180000,282.13935700,12.66882900,10.61783500,74321.04111900,74296.06627427
1937.33220000,282.21592400,12.65141000,10.62229100,74272.18680100,74177.96148761
1937.37310000,282.36804600,12.64450000,10.60359700,74374.36721500,74275.31042488
